dataset,country,item,flag,detail
Annex I Table 1,HU,excl_lulucf 2030 national target,implausible_magnitude,"target 475,000 kt vs own WEM projection 53,731 kt (ratio 9x) — order-of-magnitude entry error"
Annex I Table 1,HU,incl_lulucf 2030 national target,implausible_magnitude,"target 412,000 kt vs own WEM projection 48,788 kt (ratio 8x) — order-of-magnitude entry error"
Annex I Table 1,IE,incl_lulucf 2030 national target,implausible_magnitude,"target 335,000 kt vs own WEM projection 59,837 kt (ratio 6x) — order-of-magnitude entry error"
Annex I Table 1,BE,climate neutrality year,not_reported,no target year given for climate neutrality
Annex I Table 1,CZ,climate neutrality year,not_reported,no target year given for climate neutrality
Annex I Table 1,HR,climate neutrality year,not_reported,no target year given for climate neutrality
Annex I Table 1,PL,climate neutrality year,not_reported,no target year given for climate neutrality
Annex I Table 1,SE,climate neutrality year,not_reported,no target year given for climate neutrality
Annex I Table 3,BE,2030 LULUCF NECP commitment,unit_mismatch,"commitment -1 vs projection -1,106 kt — commitment appears to be in Mt while the column is kt"
Annex I Table 3,EE,2030 LULUCF NECP commitment,commitment_equals_projection,"stated commitment 2,230.6 kt is the country's own WAM projection, not an independent commitment"
Annex I Table 3,ES,2030 LULUCF NECP commitment,commitment_equals_projection,"stated commitment -46,008.4 kt is the country's own WAM projection, not an independent commitment"
Annex I Table 3,FR,2030 LULUCF NECP commitment,unit_mismatch,"commitment -18 vs projection -6,481 kt — commitment appears to be in Mt while the column is kt"
Annex I Table 3,HU,2030 LULUCF NECP commitment,commitment_equals_projection,"stated commitment -4,942.6 kt is the country's own WEM projection, not an independent commitment"
Annex I Table 3,NL,2030 LULUCF NECP commitment,unit_mismatch,"commitment 5.4 vs projection 4,779 kt — commitment appears to be in Mt while the column is kt"
Annex I Table 3,PL,2030 LULUCF NECP commitment,unit_mismatch,"commitment 92 vs projection -24,550 kt — commitment appears to be in Mt while the column is kt"
Annex I Table 3,RO,2030 LULUCF NECP commitment,commitment_equals_projection,"stated commitment -49,054.4 kt is the country's own WAM projection, not an independent commitment"
Annex I Table 3,AT,unit field,nonstandard_unit_string,reported unit(s): NA
Annex I Table 3,BE,unit field,nonstandard_unit_string,reported unit(s): Mton CO2-eq
Annex I Table 3,CY,unit field,nonstandard_unit_string,reported unit(s): CO2 eq
Annex I Table 3,DE,unit field,nonstandard_unit_string,reported unit(s): Mt CO2(eq)
Annex I Table 3,EE,unit field,nonstandard_unit_string,reported unit(s): kt CO2 eq.
Annex I Table 3,FI,unit field,nonstandard_unit_string,reported unit(s): ktCO2
Annex I Table 3,FR,unit field,nonstandard_unit_string,reported unit(s): MtCO2e
Annex I Table 3,HR,unit field,nonstandard_unit_string,reported unit(s): ktCO2eq
Annex I Table 3,HU,unit field,nonstandard_unit_string,reported unit(s): ktCO2eq
Annex I Table 3,IE,unit field,nonstandard_unit_string,reported unit(s): MCO2 eq
Annex I Table 3,IT,unit field,nonstandard_unit_string,reported unit(s): NA
Annex I Table 3,LT,unit field,nonstandard_unit_string,reported unit(s): kt CO2 eq.
Annex I Table 3,MT,unit field,nonstandard_unit_string,reported unit(s): NA
Annex I Table 3,NL,unit field,nonstandard_unit_string,reported unit(s): MtCO2e
Annex I Table 3,PL,unit field,nonstandard_unit_string,reported unit(s): kt CO2eq.
Annex I Table 3,PT,unit field,nonstandard_unit_string,reported unit(s): ktCO2eq
Annex I Table 3,SE,unit field,nonstandard_unit_string,reported unit(s): NA
Annex I Table 3,SI,unit field,nonstandard_unit_string,reported unit(s): kt CO2 eq
Annex I Table 4,EE,Net emissions of greenhouse gases (incl. the LULUCF sector) of 8 Mt CO2 eq. by 2,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,DK,NA,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,DK,NA,missing_unit,unit field reads 'NA'
Annex I Table 4,PL,Redukcja emisji gazów cieplarnianych w sektorach nieobjętych systemem ETS  na po,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Redukcja emisji gazów cieplarnianych w sektorach nieobjętych systemem ETS  na po,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Udział sektora LULUCF w wypełnianiu celów redukcyjnych do 2030 roku w UE,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,"Dążenie do ograniczenia emisji krajowych emisji gazów cieplarnianych, w tym CO2",no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,"Dążenie do ograniczenia emisji krajowych emisji gazów cieplarnianych, w tym CO2",missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Cel pośredni – od 2025 r. redukcja średniego poziomu emisji CO2 parku nowych sam,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Cel pośredni – od 2025 r. redukcja średniego poziomu emisji CO2 parku nowych sam,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Cel główny – od 2030 r. redukcja średniego poziomu emisji CO2 parku nowych samoc,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Cel główny – od 2030 r. redukcja średniego poziomu emisji CO2 parku nowych samoc,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Poprawa stanu jednolitych części wód powierzchniowych i podziemnych,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Poprawa stanu jednolitych części wód powierzchniowych i podziemnych,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Osiągnięcie poziomów dopuszczalnych i docelowych substancji określonych w dyrekt,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Osiągnięcie poziomów dopuszczalnych i docelowych substancji określonych w dyrekt,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Osiągnięcie w perspektywie do roku 2030 stężeń substancji w powietrzu na pozioma,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Osiągnięcie w perspektywie do roku 2030 stężeń substancji w powietrzu na pozioma,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Ograniczenie emisji antropogenicznych zanieczyszczeń do atmosfery: dwutlenku sia,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Ograniczenie emisji antropogenicznych zanieczyszczeń do atmosfery: dwutlenku sia,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PL,Sprawiedliwa transformacja energetyczna w kierunku niskoemisyjnym,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 4,PL,Sprawiedliwa transformacja energetyczna w kierunku niskoemisyjnym,missing_unit,unit field reads 'brak danych'
Annex I Table 4,PT,Sectoral greenhouse gas (GHG) emission reduction target,fraction_vs_percent,target given as a fraction (e.g. -0.7) while the progress series is in percent or absolute units
Annex I Table 4,SI,ESR emissions from energy industries and fugitive emissions,fraction_vs_percent,target given as a fraction (e.g. -0.7) while the progress series is in percent or absolute units
Annex I Table 4,SE,Zero net emissions,no_numeric_target,objective reported with no quantified target in any year
Annex I Table 2,AT,2023 annual emission allocation,unit_mismatch,"AEA 45.9 labelled 'ktCO2e' but ESR emissions for the same year are 44,252 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,AT,2030 annual emission allocation,unit_mismatch,"AEA 36.1 labelled 'ktCO2e' but ESR emissions for the same year are 38,642 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,BE,2023 annual emission allocation,unit_mismatch,"AEA 66.2 labelled 'ktCO2e' but ESR emissions for the same year are 68,783 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,BE,2030 annual emission allocation,unit_mismatch,"AEA 52.9 labelled 'ktCO2e' but ESR emissions for the same year are 63,907 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,BG,2023 annual emission allocation,unit_mismatch,"AEA 24.7 labelled 'ktCO2e' but ESR emissions for the same year are 22,592 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,BG,2030 annual emission allocation,unit_mismatch,"AEA 21.9 labelled 'ktCO2e' but ESR emissions for the same year are 14,385 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,CY,2023 annual emission allocation,unit_mismatch,"AEA 3.9 labelled 'ktCO2e' but ESR emissions for the same year are 4,316 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,CY,2030 annual emission allocation,unit_mismatch,"AEA 3.2 labelled 'ktCO2e' but ESR emissions for the same year are 4,103 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,CZ,2023 annual emission allocation,unit_mismatch,"AEA 59.6 labelled 'ktCO2e' but ESR emissions for the same year are 57,588 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,CZ,2030 annual emission allocation,unit_mismatch,"AEA 54.9 labelled 'ktCO2e' but ESR emissions for the same year are 47,060 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,DE,2023 annual emission allocation,unit_mismatch,"AEA 399.7 labelled 'ktCO2e' but ESR emissions for the same year are 382,248 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,DE,2030 annual emission allocation,unit_mismatch,"AEA 298.2 labelled 'ktCO2e' but ESR emissions for the same year are 308,401 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
Annex I Table 2,DK,2023 annual emission allocation,unit_mismatch,"AEA 30.1 labelled 'ktCO2e' but ESR emissions for the same year are 29,752 kt — the AEA series is in Mt, and the pre-calculated difference column subtracts Mt from kt"
