tech,subsector,name,capex_eur_t,fixed_opex_eur_t,var_opex_eur_t,lifetime_yr,available_from,max_build_share,capture_rate,process_co2_t_t,source,source_url
steel_bfbof,steel,Blast furnace - basic oxygen furnace (reference),400,25,150,25,2025,0.25,0.0,0.0,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_bfbof_ccs,steel,BF-BOF with CCUS (top-gas / post-combustion capture),770,37,153,25,2030,0.12,0.6,0.0,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage (sheet 401.c, post-combustion capture retrofit, cement kiln flue gas used as CO2-concentration proxy for BF-BOF flue/top gas, ~90% capture); converted at 1.185 tCO2 captured/t steel (combustion CO2 at 0.6 capture rate), 8000 full-load h/yr, DEA specific investment 2.5 M EUR/(tCO2/h) (2030) -> capture add-on 370 EUR/(t/yr) added to unchanged base steel_bfbof capex (400); base process still IEA (2020) Iron and Steel Technology Roadmap. DEA capture-retrofit benchmark implies a materially higher capture add-on than the prior generic IEAGHG (2018) estimate (250 EUR/t) - adopted the DEA-grounded (higher, more conservative) figure and retained it for fixed/var O&M add-ons (11.9 and 3.0 EUR/t respectively, close to the prior estimate).",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
steel_ngdri_eaf,steel,Natural-gas DRI + EAF (transitional),500,25,140,25,2025,0.15,0.0,0.0,"IEA (2020), Iron and Steel Technology Roadmap",https://www.iea.org/reports/iron-and-steel-technology-roadmap
steel_h2dri_eaf,steel,Hydrogen DRI (H2-DRI) + EAF,800,30,130,25,2027,0.15,0.0,0.0,"European Parliament (EPRS) (2021), Carbon-free steel production - Cost reduction options and usage of existing gas infrastructure; LeadIT (SEI) (2026), Green Steel Tracker",https://www.europarl.europa.eu/RegData/etudes/STUD/2021/690008/EPRS_STU(2021)690008_EN.pdf
steel_scrap_eaf,steel,"Scrap-based EAF (secondary steel, scrap-limited)",350,18,280,20,2025,0.15,0.0,0.0,"IEA (2020), Iron and Steel Technology Roadmap; Material Economics (2019), Industrial Transformation 2050 - Pathways to Net-Zero Emissions from EU Heavy Industry",https://www.iea.org/reports/iron-and-steel-technology-roadmap
cement_ref,cement,Conventional dry-kiln clinker production (reference),150,12,25,35,2025,0.25,0.0,0.408,"IEA / CSI (2018), Technology Roadmap: Low-Carbon Transition in the Cement Industry",https://www.iea.org/reports/technology-roadmap-low-carbon-transition-in-the-cement-industry
cement_clinkersub,cement,Clinker substitution / calcined clay (LC3) & efficiency package,160,12,22,35,2025,0.15,0.0,0.345,"MDPI (Sustainability, peer-reviewed) (2026), Limestone Calcined Clay Cement (LC3): From Laboratory Innovation to Sustainable Industrial Application",https://www.mdpi.com/2071-1050/18/7/3473
cement_ccs,cement,CCS (oxyfuel / post-combustion / LEILAC direct separation),325,18,26,25,2028,0.12,0.9,0.408,"Danish Energy Agency (2024), Technology Data for Carbon Capture, Transport and Storage (sheet 401.c, post-combustion capture retrofit for a 4500 t clinker/day cement kiln - a direct match for this technology); converted at 0.567 tCO2 captured/t clinker (0.9 capture rate on ~0.63 tCO2/t pre-capture process+combustion CO2), 8000 full-load h/yr, DEA specific investment 2.5 M EUR/(tCO2/h) (2030) -> capture add-on ~177 EUR/(t/yr) on top of the unchanged cement_ref kiln capex (150), materially consistent with the prior implied add-on (170 EUR/t from IEAGHG 2018); fixed/var O&M add-ons recomputed from DEA (5.7 and 1.4 EUR/t) and are lower than the prior generic IEAGHG estimate - adopted the DEA, more granular, figures. Capture-unit lifetime (25 yr per DEA) now governs over the kiln's own 35-yr structural life, since capture equipment would need reinvestment first. Heidelberg Materials (2025) Brevik CCS start-up retained for the available_from=2028 calibration.",https://ens.dk/en/analyses-and-statistics/technology-data-carbon-capture-transport-and-storage
cement_altfuel,cement,High alternative-fuel share (biomass / waste-derived kiln fuel),165,13,20,35,2025,0.15,0.0,0.408,"Danish Energy Agency (2026), Technology Data for Industrial Process Heat (sheet 7.2, direct firing of solid fuels: 100% net efficiency, used as the closest available DEA proxy for alternative/biomass fuel firing in a cement kiln burner - DEA has no cement-kiln-specific alt-fuel sheet). Capex/fixed/var opex and the 35-yr lifetime retained from IEA / CSI (2018) Technology Roadmap: Low-Carbon Transition in the Cement Industry: DEA's burner-only figures (0.258 M EUR/MW, 15-yr burner lifetime) price the firing equipment alone, not the rotary kiln shell/refractories/preheater that dominate cement-kiln capex and govern its much longer structural life - divergence noted, fuller-scope IEA/CSI figures kept.",https://ens.dk/en/analyses-and-statistics/technology-data-industrial-process-heat
hvc_ref,hvc,NG/naphtha steam cracker (reference),700,30,550,30,2025,0.3,0.0,0.0,"IEA (2018), The Future of Petrochemicals",https://www.iea.org/reports/the-future-of-petrochemicals
