scenario,description,param,factor
central,Central-case assumptions across all parameters,none,1.0
co2_low,EU ETS carbon price follows the low column of carbon_price.csv,carbon_price_low,1.0
co2_high,EU ETS carbon price follows the high column of carbon_price.csv,carbon_price_high,1.0
capex_low,Clean (non-reference) technology CAPEX 30% lower (faster learning/cost-down),capex_clean,0.7
capex_high,"Clean (non-reference) technology CAPEX 30% higher (slower learning, supply-chain cost pressure)",capex_clean,1.3
demand_low,Product demand 20% lower across all subsectors (material efficiency & circularity),demand,0.8
demand_high,Product demand 10% higher across all subsectors (continued growth),demand,1.1
elec_cheap,Electricity price 30% lower (faster renewables build-out),elec_price,0.7
elec_exp,Electricity price 30% higher (slower grid build-out / tight power markets),elec_price,1.3
h2_cheap,"Hydrogen price 40% lower (electrolyser cost-down, cheap renewable power)",h2_price,0.6
h2_exp,"Hydrogen price 40% higher (slow electrolyser scale-up, feedstock power scarcity)",h2_price,1.4
eff_gain,Energy intensity of clean technologies 10% lower (learning-by-doing efficiency gains),energy_intensity_clean,0.9
slow_build,Maximum build rate for new capacity halved (permitting / supply-chain / grid bottlenecks),max_build_share,0.5
