table,item,source_org,source_title,url,year,note
sectors,steel,Eurofer,European Steel in Figures 2024,https://www.eurofer.eu/publications/brochures-booklets-and-factsheets/european-steel-in-figures-2024,2024,EU-27 crude steel production ~126 Mt (2023)
sectors,steel,Sandbag (EEA EU ETS Data Viewer / EUTL),A closer look at 2023 emissions,https://sandbag.be/2024/10/07/a-closer-look-at-2023-emissions/,2024,EU ETS 'pig iron or steel' activity ~96 Mt CO2 (2023); ~145 Mt on a value-chain basis incl. coke ovens
sectors,cement,Cembureau,Key Facts & Figures,https://www.cembureau.eu/media/00ejjcfj/key-facts-figures-publication-june-2024.pdf,2024,EU-27 cement production ~180 Mt (2023)
sectors,cement,Sandbag (EEA EU ETS Data Viewer / EUTL),A closer look at 2023 emissions,https://sandbag.be/2024/10/07/a-closer-look-at-2023-emissions/,2024,EU ETS 'cement clinker or lime' activity combined ~124 Mt CO2 (2023)
sectors,hvc,Sandbag (EU ETS / EUTL),Chemicals in the CBAM: Time to step up,https://sandbag.be/2025/11/25/chemicals-in-the-cbam-time-to-step-up/,2025,Refining + chemicals ~203 Mt CO2 = 36% of EU ETS industry (2023); HVC/steam-cracking share estimated at ~45 Mt CO2 direct
sectors,hvc,IEA,The Future of Petrochemicals,https://www.iea.org/reports/the-future-of-petrochemicals,2018,EU-27 HVC (ethylene/propylene/BTX) production order of magnitude ~40 Mt/yr
sectors,ammonia,Fertilizers Europe,Industry Facts & Figures,https://www.fertilizerseurope.com/publications/fertilizers-industry-facts-and-figures-2023-edition/,2024,EU-27 ammonia production ~16 Mt/yr
sectors,ammonia,IEA,Ammonia Technology Roadmap,https://www.iea.org/reports/ammonia-technology-roadmap,2021,Direct CO2 intensity of conventional (SMR) ammonia ~1.6-2.4 tCO2/t NH3; EU-27 direct CO2 estimated ~26 Mt/yr
sectors,aluminium,International Aluminium Institute (IAI),Primary Aluminium Production statistics,https://international-aluminium.org/statistics/,2024,EU-27 primary aluminium ~2 Mt/yr; secondary ~4-5 Mt/yr
sectors,aluminium,JRC (European Commission),Aluminium factsheet (JRC144120),https://publications.jrc.ec.europa.eu/repository/bitstream/JRC144120/Aluminium_factsheet_JRC144120.pdf,2026,Direct process CO2 (anode consumption) ~2.75 Mt CO2 (2022)
sectors,glass,FEVE (European Container Glass Federation),Statistics,https://feve.org/about-glass/statistics/,2024,EU-27 container + flat glass production ~35 Mt/yr
sectors,glass,European Commission (CINEA),How LIFE is reducing emissions from glass production,https://cinea.ec.europa.eu/news-events/news/how-life-reducing-emissions-glass-production-2022-03-16_en,2022,Whole glass sector ~22 Mt CO2 direct/yr; container+flat share estimated ~20 Mt
sectors,paper,CEPI,Key Statistics 2022 - European pulp & paper industry,https://www.cepi.org/wp-content/uploads/2023/07/2022-Key-Statistics-FINAL.pdf,2022,EU pulp & paper (board) production ~74 Mt/yr; direct fossil CO2 ~27 Mt/yr
