tech,subsector,name,capex_eur_t,fixed_opex_eur_t,var_opex_eur_t,lifetime_yr,available_from,max_build_share,capture_rate,process_co2_t_t,source
steel_bfbof,steel,Blast furnace - basic oxygen furnace (reference),400,25,150,25,2025,0.25,0.0,0.0,IEA Iron and Steel Technology Roadmap 2020
steel_bfbof_ccs,steel,BF-BOF with CCUS (top-gas / post-combustion capture),650,35,160,25,2030,0.12,0.6,0.0,IEAGHG 2018 / IEA Iron and Steel Technology Roadmap 2020
steel_ngdri_eaf,steel,Natural-gas DRI + EAF (transitional),500,25,140,25,2025,0.15,0.0,0.0,IEA Iron and Steel Technology Roadmap 2020
steel_h2dri_eaf,steel,Hydrogen DRI (H2-DRI) + EAF,800,30,130,25,2027,0.15,0.0,0.0,EPRS 2021 (Carbon-free steel production) / LeadIT Green Steel Tracker
steel_scrap_eaf,steel,"Scrap-based EAF (secondary steel, scrap-limited)",350,18,280,20,2025,0.15,0.0,0.0,IEA Iron and Steel Technology Roadmap 2020 / Material Economics 2019
cement_ref,cement,Conventional dry-kiln clinker production (reference),150,12,25,35,2025,0.25,0.0,0.408,IEA/CSI Cement Technology Roadmap 2018
cement_clinkersub,cement,Clinker substitution / calcined clay (LC3) & efficiency package,160,12,22,35,2025,0.15,0.0,0.345,MDPI Sustainability (LC3) 2026 / Material Economics 2019
cement_ccs,cement,CCS (oxyfuel / post-combustion / LEILAC direct separation),320,25,35,30,2028,0.12,0.9,0.408,IEAGHG 2018 / Heidelberg Materials Brevik CCS 2025
cement_altfuel,cement,High alternative-fuel share (biomass / waste-derived kiln fuel),165,13,20,35,2025,0.15,0.0,0.408,IEA/CSI Cement Technology Roadmap 2018
hvc_ref,hvc,NG/naphtha steam cracker (reference),700,30,550,30,2025,0.3,0.0,0.0,IEA Future of Petrochemicals 2018
hvc_elec,hvc,Electric steam cracker (e-cracker),850,32,560,30,2030,0.15,0.0,0.0,BASF/SABIC/Linde 2024 e-cracker demonstration
hvc_bio,hvc,Bio-naphtha fed cracker,720,30,620,30,2027,0.15,0.0,0.0,IEA Future of Petrochemicals 2018 / Material Economics 2019
hvc_ccs,hvc,Steam cracker with CCS,900,35,560,30,2032,0.15,0.65,0.0,"IEAGHG 2018 (industrial CCS costs, applied to chemicals furnaces)"
ammonia_smr,ammonia,Steam methane reforming Haber-Bosch (reference),650,25,40,25,2025,0.3,0.0,0.0,IEA Ammonia Technology Roadmap 2021
ammonia_smr_ccs,ammonia,SMR + CCS (blue ammonia),900,35,55,25,2026,0.15,0.6,0.0,IEA Ammonia Technology Roadmap 2021
ammonia_h2,ammonia,Electrolytic hydrogen Haber-Bosch (green ammonia),1500,45,45,20,2026,0.15,0.0,0.0,IEA Ammonia Technology Roadmap 2021 / Yara Heroya 2024
alu_ref,aluminium,"Hall-Heroult primary smelting, grid electricity (reference)",3500,60,900,30,2025,0.3,0.0,1.4,JRC Aluminium factsheet 2026 / IAI 2024
alu_inert,aluminium,Inert anode primary smelting (ELYSIS),3800,65,850,30,2032,0.15,0.0,0.0,ELYSIS 2025 (commercial-size cell) / IEA ETP Guide 2024
alu_sec,aluminium,"Secondary (recycled) aluminium, scrap-limited",700,20,750,25,2025,0.25,0.0,0.0,Material Economics 2019 / IAI 2024
glass_ng,glass,Natural-gas fired melting (reference),120,8,90,15,2025,0.3,0.0,0.15,European Commission (CINEA) 2022
glass_elec,glass,All-electric melting,150,9,88,15,2025,0.2,0.0,0.15,IEA ETP Clean Energy Technology Guide 2024
glass_hybrid,glass,Hybrid natural-gas / electric / hydrogen melting,140,8.5,89,15,2027,0.2,0.0,0.15,IEA ETP Clean Energy Technology Guide 2024
paper_ref,paper,Natural-gas CHP process heat (reference),250,20,300,25,2025,0.25,0.0,0.0,CEPI Key Statistics 2022
paper_elec,paper,Electrification / high-temperature heat pumps,280,20,295,20,2027,0.15,0.0,0.0,IEA The Future of Heat Pumps 2022
paper_bio,paper,Biomass residues (incl. black liquor) process heat,260,20,290,25,2025,0.15,0.0,0.0,IEA Bioenergy 2022 / CEPI Key Statistics 2022
